param_name,layer_num,component,param_count,relative_l2_diff
layers.14.self_attn.k_proj.weight,14,attention,524288,0.00042395230135127706
layers.16.self_attn.q_proj.weight,16,attention,4194304,0.000507617988560715
layers.35.self_attn.o_proj.weight,35,attention,4194304,0.0005474334375634526
layers.8.self_attn.k_proj.bias,8,attention,256,1.2432325473511334e-05
layers.18.self_attn.o_proj.weight,18,attention,4194304,0.0006624347902008638
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.0006270597934984373
layers.29.self_attn.o_proj.weight,29,attention,4194304,0.000634031678673706
layers.3.self_attn.v_proj.bias,3,attention,256,0.00040621266842308075
layers.24.input_layernorm.weight,24,norm,2048,0.0
layers.6.self_attn.v_proj.bias,6,attention,256,0.00042554826302590345
layers.32.self_attn.q_proj.bias,32,attention,2048,3.521218160853504e-06
layers.4.self_attn.v_proj.bias,4,attention,256,0.00032847361038382066
layers.23.self_attn.v_proj.weight,23,attention,524288,0.0007004760331575835
layers.35.self_attn.q_proj.bias,35,attention,2048,2.7450379809193794e-06
layers.0.self_attn.v_proj.bias,0,attention,256,6.900901834943427e-05
layers.7.input_layernorm.weight,7,norm,2048,1.9229530137689214e-06
layers.25.self_attn.o_proj.weight,25,attention,4194304,0.0006650233306017709
layers.32.mlp.gate_proj.weight,32,ffn,22544384,0.0005815057780278961
layers.24.self_attn.o_proj.weight,24,attention,4194304,0.000676652992351172
layers.31.post_attention_layernorm.weight,31,attention,2048,7.072297457731584e-07
layers.31.self_attn.v_proj.bias,31,attention,256,2.1191459433984137e-05
layers.28.input_layernorm.weight,28,norm,2048,0.0
layers.16.self_attn.v_proj.bias,16,attention,256,0.00020182195422155166
layers.15.input_layernorm.weight,15,norm,2048,0.0
layers.20.post_attention_layernorm.weight,20,attention,2048,3.136584975785828e-07
layers.32.mlp.down_proj.weight,32,ffn,22544384,0.0005338903924701731
layers.29.mlp.up_proj.weight,29,ffn,22544384,0.0005501448667653738
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0005635686737492822
layers.31.input_layernorm.weight,31,norm,2048,0.0
layers.28.post_attention_layernorm.weight,28,attention,2048,1.9894719413776257e-08
layers.34.self_attn.v_proj.weight,34,attention,524288,0.00037367307347525234
layers.3.mlp.gate_proj.weight,3,ffn,22544384,0.0006469757495067935
layers.7.mlp.up_proj.weight,7,ffn,22544384,0.000561328889874327
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.0005540728244642016
layers.0.input_layernorm.weight,0,norm,2048,0.0
layers.4.post_attention_layernorm.weight,4,attention,2048,9.635911313690098e-07
layers.23.mlp.gate_proj.weight,23,ffn,22544384,0.0006245184756393682
layers.5.self_attn.v_proj.bias,5,attention,256,0.0001958725581594145
layers.2.self_attn.v_proj.weight,2,attention,524288,0.0007323710561574659
layers.5.self_attn.q_proj.weight,5,attention,4194304,0.0005051312385334806
layers.10.mlp.down_proj.weight,10,ffn,22544384,0.0005972354648194926
layers.33.self_attn.q_proj.weight,33,attention,4194304,0.0007324542636064252
layers.32.self_attn.o_proj.weight,32,attention,4194304,0.000523391341003586
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0007375276480018014
layers.9.post_attention_layernorm.weight,9,attention,2048,7.179300019605244e-07
layers.25.self_attn.q_proj.bias,25,attention,2048,2.477156354954897e-06
layers.27.self_attn.q_proj.weight,27,attention,4194304,0.0006732694479513326
layers.29.self_attn.v_proj.bias,29,attention,256,0.00011350625628813144
layers.20.self_attn.k_proj.bias,20,attention,256,1.7321648822756525e-06
layers.12.mlp.up_proj.weight,12,ffn,22544384,0.0005623545667023816
layers.34.mlp.gate_proj.weight,34,ffn,22544384,0.0005801942122290148
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.000451068876787017
layers.10.self_attn.q_proj.weight,10,attention,4194304,0.0005571054082685547
layers.11.post_attention_layernorm.weight,11,attention,2048,9.384544121655542e-07
layers.2.mlp.down_proj.weight,2,ffn,22544384,0.0009764795256763262
layers.20.mlp.down_proj.weight,20,ffn,22544384,0.0006116872891733546
layers.10.self_attn.k_proj.bias,10,attention,256,1.221095103579954e-05
layers.8.self_attn.q_proj.bias,8,attention,2048,1.8338166345760825e-06
layers.23.self_attn.k_proj.bias,23,attention,256,5.600257015553512e-06
layers.12.self_attn.k_proj.weight,12,attention,524288,0.0004719890491445633
layers.33.mlp.gate_proj.weight,33,ffn,22544384,0.0005868414862126516
layers.3.self_attn.k_proj.bias,3,attention,256,2.9277491339469326e-06
layers.25.mlp.up_proj.weight,25,ffn,22544384,0.0005919364672199563
layers.2.post_attention_layernorm.weight,2,attention,2048,8.089085394880038e-07
layers.0.self_attn.v_proj.weight,0,attention,524288,0.0009673969706905456
layers.0.self_attn.q_proj.weight,0,attention,4194304,0.00030790248944059665
layers.32.self_attn.q_proj.weight,32,attention,4194304,0.0006611719075269753
layers.16.self_attn.v_proj.weight,16,attention,524288,0.0005780110367189787
layers.3.self_attn.o_proj.weight,3,attention,4194304,0.0006572203846504052
layers.33.self_attn.o_proj.weight,33,attention,4194304,0.0004526391058749724
layers.33.self_attn.v_proj.weight,33,attention,524288,0.0002504021648633508
layers.24.mlp.up_proj.weight,24,ffn,22544384,0.0006012648165584275
layers.18.self_attn.k_proj.weight,18,attention,524288,0.0005189846105025475
layers.24.self_attn.k_proj.bias,24,attention,256,4.2236977633812685e-06
layers.32.self_attn.v_proj.weight,32,attention,524288,0.0005044817395340343
layers.35.mlp.gate_proj.weight,35,ffn,22544384,0.0005631805447032264
layers.26.input_layernorm.weight,26,norm,2048,0.0
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0005335911537282707
layers.35.post_attention_layernorm.weight,35,attention,2048,0.0
layers.26.mlp.gate_proj.weight,26,ffn,22544384,0.0006245274025187967
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.0005676234085410673
layers.14.self_attn.q_proj.bias,14,attention,2048,2.409019822115574e-06
layers.34.mlp.down_proj.weight,34,ffn,22544384,0.0005353080573098146
layers.9.self_attn.o_proj.weight,9,attention,4194304,0.0005718452060953427
layers.30.post_attention_layernorm.weight,30,attention,2048,2.1680244551768296e-07
layers.19.self_attn.q_proj.bias,19,attention,2048,3.1168463560374706e-06
layers.6.post_attention_layernorm.weight,6,attention,2048,1.1926680836809622e-06
layers.28.self_attn.k_proj.weight,28,attention,524288,0.0007262229663718007
layers.11.self_attn.k_proj.bias,11,attention,256,7.276670804584403e-06
layers.33.mlp.down_proj.weight,33,ffn,22544384,0.0005228327261034897
layers.18.self_attn.v_proj.weight,18,attention,524288,0.0006007041722713387
layers.14.post_attention_layernorm.weight,14,attention,2048,4.911879783720524e-07
layers.21.post_attention_layernorm.weight,21,attention,2048,9.761736750860227e-07
layers.12.self_attn.v_proj.weight,12,attention,524288,0.000525784831002847
layers.17.self_attn.q_proj.bias,17,attention,2048,2.7025089923247236e-06
layers.12.mlp.gate_proj.weight,12,ffn,22544384,0.0004504517529379734
layers.13.self_attn.q_proj.bias,13,attention,2048,3.351130203405929e-06
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0005228241446001939
layers.17.mlp.gate_proj.weight,17,ffn,22544384,0.0005728317892523591
layers.1.self_attn.o_proj.weight,1,attention,4194304,0.000612013387995468
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.0006154732790152589
