param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0014116101535555981,4
layers.34.self_attn.k_proj.bias,34,attention,256,9.944005918642673e-06,4
layers.17.self_attn.k_proj.weight,17,attention,524288,0.00131882858922178,4
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.001348908683491784,4
layers.0.self_attn.k_proj.weight,0,attention,524288,0.0004185243055041403,4
layers.11.post_attention_layernorm.weight,11,attention,2048,1.2198079895385504e-06,4
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0011064263237873634,4
layers.8.self_attn.q_proj.bias,8,attention,2048,3.660853726735984e-06,4
layers.23.self_attn.k_proj.bias,23,attention,256,1.2863152789989592e-05,4
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.0012413157208249924,4
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0015160279169699898,4
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0012016899340669908,4
layers.35.self_attn.q_proj.bias,35,attention,2048,8.837497687113808e-06,4
layers.2.input_layernorm.weight,2,norm,2048,1.3624723241582956e-05,4
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.0012144688770331707,4
layers.16.self_attn.q_proj.bias,16,attention,2048,7.443170366846741e-06,4
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0013547612180249264,4
layers.30.self_attn.k_proj.bias,30,attention,256,1.993692100058587e-05,4
layers.8.self_attn.k_proj.weight,8,attention,524288,0.0009955639955841972,4
layers.30.self_attn.v_proj.bias,30,attention,256,0.00015308540901548274,4
layers.9.self_attn.k_proj.bias,9,attention,256,2.470977122414962e-05,4
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.0015440658097673713,4
layers.16.self_attn.v_proj.bias,16,attention,256,0.000523654949834973,4
layers.18.self_attn.q_proj.bias,18,attention,2048,8.940904510335913e-06,4
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.0013357967466415832,4
layers.33.input_layernorm.weight,33,norm,2048,1.2200639219393255e-06,4
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0015105966623054799,4
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.0013631988596182034,4
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.001345304481437004,4
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.0014839137580102983,4
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.001454785204472842,4
