# 模型参数变化分析报告
基础模型: /home/fuzhizhang.fzz/model/Qwen2.5-3B
新模型: /home/fuzhizhang.fzz/open-r1/data/Qwen2.5-3B-GRPO/checkpoint-2000
分析指标: 相对L2差异 (Relative L2 Difference)

## 总体统计
总参数量: 3,085,938,688
加权平均相对L2差异: 0.000542
最大相对L2差异: 0.001021

## 各组件差异统计
component  weighted_avg_diff  total_params  max_diff  param_percentage
attention           0.000597     339904512  0.001021         11.014623
      ffn           0.000578    2434793472  0.000976         78.899606
embedding           0.000204     311164928  0.000204         10.083315
     norm           0.000001         75776  0.000010          0.002456

## 各层差异统计
 layer  weighted_avg_diff  total_params  max_diff
     0           0.000517      77076992  0.000967
     1           0.000562      77076992  0.000837
     2           0.000755      77076992  0.000976
     3           0.000640      77076992  0.000930
     4           0.000719      77076992  0.000802
     5           0.000578      77076992  0.000694
     6           0.000531      77076992  0.000642
     7           0.000554      77076992  0.000586
     8           0.000516      77076992  0.000567
     9           0.000522      77076992  0.000583
    10           0.000534      77076992  0.000597
    11           0.000533      77076992  0.000582
    12           0.000534      77076992  0.000590
    13           0.000534      77076992  0.000690
    14           0.000539      77076992  0.000606
    15           0.000548      77076992  0.000641
    16           0.000564      77076992  0.000617
    17           0.000587      77076992  0.000682
    18           0.000591      77076992  0.000662
    19           0.000610      77076992  0.000745
    20           0.000602      77076992  0.000666
    21           0.000602      77076992  0.000672
    22           0.000603      77076992  0.000647
    23           0.000620      77076992  0.000737
    24           0.000625      77076992  0.000677
    25           0.000621      77076992  0.000847
    26           0.000601      77076992  0.000649
    27           0.000595      77076992  0.000805
    28           0.000580      77076992  0.000726
    29           0.000581      77076992  0.000775
    30           0.000580      77076992  0.000846
    31           0.000570      77076992  0.000818
    32           0.000552      77076992  0.000974
    33           0.000546      77076992  0.001021
    34           0.000555      77076992  0.000908
    35           0.000580      77076992  0.000891
